"city","state","shape"
"San Marcos","TX","Cylinder"
"Edna","TX","Circle"
"Kaneohe","HI","Light"
"Bristol","TN","Sphere"
"Norwalk","CT","Disk"
"Pell City","AL","Disk"
"Live Oak","FL","Disk"
"Hawthorne","CA","Circle"
"Brevard","NC","Fireball"
"Bellmore","NY","Disk"
"Lexington","NC","Oval"
"Harlan County","KY","Circle"
"West Bloomfield","MI","Disk"
"Niantic","CT","Disk"
"Hudson","MA","Other"
"Hudson","KS","Light"
"North Charleston","SC","Light"
"Washougal","WA","Oval"
"San Antonio","TX","Other"
"Louisville","KY","Light"
"Elmont","NY","Rectangle"
"Poughkeepsie","NY","Chevron"
"San Diego","CA","Oval"
"Houston","TX","Sphere"
"Manchester","NH","Light"
"Houston","TX","Circle"
"Traverse City","MI","Other"
"White Plains","NY","Formation"
"Milwaukee","WI","Triangle"
"Boulder","CO","Light"
"Calabasas","CA","Disk"
"Centralia","WA","Triangle"
"Ashburn","GA","Triangle"
"Harrisburg","PA","Triangle"
"Panama City","FL","Formation"
"Seymour","TN","Cigar"
"Peoria","IL","Light"
"Carthage","TN","Other"
"Burnt Hills","NY","Rectangle"
"Pinebergen","AR","Light"
"Higginsville","MO","Triangle"
"Charleston","SC","Light"
"Monroe County","OH","Cylinder"
"Connersville","IN","Delta"
"Mesa","AZ","Sphere"
"Bonaire","GA","Triangle"
"Austin","MN","Other"
"Hollywood","CA","Changing"
"Phoenix (North Part)","AZ","Fireball"
"Elgin","IL","Cylinder"
"Las Vegas","NV","Cigar"
"Las Vegas","NV","Circle"
"Spokane (About 30 Miles Sw Of&#44I-90&#44 Maybe Mm 254)","WA","Triangle"
"Mooresville","NC","Light"
"Delano","TN","Fireball"
"Martinez","CA","Changing"
"Dallas","TX","Other"
"San Diego","CA","Fireball"
"Kennewick","WA","Sphere"
"Hayward","CA","Circle"
"Rachel","NV","Light"
"Humphrey","NE","Sphere"
"Elgin","OR","Chevron"
"Lewiston","MI","Oval"
"Perryville","MO","Oval"
"Boynton Beach","FL","Other"
"Brinktown","MO","Light"
"Florence","KY","Light"
"Port Orchard","WA","Diamond"
"Rockwell City","IA","Triangle"
"Hayward","CA","Circle"
"Ottumwa","IA","Rectangle"
"Fresno","CA","Changing"
"Phoenix","AZ","Triangle"
"Virginia Beach","VA","Triangle"
"Hayward","WI","Flash"
"Seattle","WA","Sphere"
"Cincinnati","OH","Other"
"Portland","OR","Circle"
"Alhambra","CA","Oval"
"Indianapolis","IN","Sphere"
"Centreville","VA","Other"
"Grand View","ID","Light"
"Temperance","MI","Oval"
"Crescent Beach","SC","Formation"
"Albuquerque","NM","Light"
"Gleason","WI","Sphere"
"Mahwah","NJ","Triangle"
"Terre Haute","IN","Sphere"
"Indianapolis","IN","Oval"
"Morgantown","WV","Circle"
"Rock Island","IL","Sphere"
"Ripley","NY","Circle"
"Faribault","MN","Flash"
"Mansfield","OH","Light"
"Columbia","MO","Light"
"Gleason","WI","Sphere"
"Seattle","WA","Other"
"Apache Junction","AZ","Other"
"North Miami Beach","FL","Oval"
"Los Angeles","CA","Egg"
"Loretto","PA","Triangle"
"North Miami Beach","FL","Other"
"East Wenatchee","WA","Light"
"Hendersonville","NC","Light"
"Brainerd","MN","Disk"
"Pennington","TX","Diamond"
"San Francisco","CA","Triangle"
"Savannah","TN","Light"
"Waynesboro","VA","Triangle"
"Bray","OK","Other"
"Waycross","GA","Light"
"Wolfforth","TX","Disk"
"Lebanon","OR","Light"
"Stockbridge","GA","Changing"
"Denver","CO","Changing"
"Jacksonville","FL","Sphere"
"Indio","CA","Oval"
"Owego","NY","Triangle"
"Downingtown","PA","Circle"
"Austin","TX","Flash"
"Starrsville (Covington)","GA","Sphere"
"Jensen Beach","FL","Oval"
"Houston","TX","Formation"
"Duluth","MN","Light"
"Fleming","CO","Circle"
"Van Alstyne","TX","Other"
"Northglenn","CO","Triangle"
"North Branch","MN","Light"
"Slingerlands","NY","Circle"
"Carlin","NV","Disk"
"Evansville","IN","Formation"
"Albany","NY","Oval"
"Fremont","CA","Triangle"
"Yuma","AZ","Triangle"
"South Bend","IN","Light"
"La Crescent","MN","Formation"
"Philadelphia","PA","Oval"
"Seattle","WA","Light"
"Pueblo","CO","Light"
"Cincinnati","OH","Oval"
"San Diego","CA","Disk"
"Madison","WI","Circle"
"Coldwater","OH","Sphere"
"Crested Butte","CO","Egg"
"Anaheim","CA","Light"
"Wilmington","NC","Light"
"Leesburg","VA","Disk"
"Michigan City","IN","Changing"
"Cupertino","CA","Light"
"Orchard Park","NY","Light"
"Harrisburg","PA","Circle"
"Euclid","OH","Circle"
"Starr","SC","Formation"
"Greenwich","CT","Light"
"North Charleston","SC","Light"
"Springfield","VA","Cigar"
"Bridgeport","CT","Light"
"Clackamas","OR","Triangle"
"San Angelo","TX","Oval"
"Windsor","CT","Fireball"
"Sterling","IL","Cylinder"
"Everett","WA","Other"
"Kykotsmovi","AZ","Disk"
"Albany","NY","Circle"
"Garden Grove","CA","Egg"
"Miami","FL","Changing"
"Troy","NY","Triangle"
"Farmington","NM","Circle"
"Prescott Valley","AZ","Other"
"Ashville","NY","Circle"
"North Kingstown","RI","Oval"
"Groton","CT","Disk"
"Mechanicsville","VA","Light"
"Middletown","CT","Fireball"
"Lakewood","OH","Fireball"
"York","PA","Circle"
"North Platte","NE","Circle"
"Waynesville","OH","Triangle"
"Bridgeport","CT","Circle"
"San Diego","CA","Sphere"
"Sterling Heights","MI","Oval"
"Syracuse","NY","Light"
"Syracuse","NY","Circle"
"Colorado Springs","CO","Light"
"Moundville","AL","Changing"
"New York City (Bronx)","NY","Disk"
"Las Cruces","NM","Fireball"
"Marion","IL","Light"
"San Jose","CA","Other"
"Phoenix","AZ","Sphere"
"Yakima","WA","Light"
"Austin","TX","Changing"
"Bean Station","TN","Cigar"
"Rochester","WA","Light"
"Suffern","NY","Cylinder"
"Rancho Mirage","CA","Rectangle"
"Palm Harbor","FL","Chevron"
"St. Louis County","MO","Light"
"Rittman","OH","Light"
"Essex Junction","VT","Light"
"Kenner","LA","Circle"
"Drexel","OH","Circle"
"Hudson","NH","Light"
"Grand Blanc","MI","Light"
"Savage","MN","Circle"
"Warren","MI","Sphere"
"Canton","MI","Triangle"
"Lost Creek","WV","Triangle"
"Hudson","NH","Light"
"Jupiter","FL","Egg"
"Brighton","MI","Circle"
"Minnetonka","MN","Light"
"Otto","MO","Fireball"
"Kewanee","IL","Sphere"
"Albuquerque","NM","Sphere"
"Jackson","NJ","Triangle"
"Riverside","CA","Chevron"
"Damascus","VA","Light"
"Montara","CA","Other"
"Mount Carmel","TN","Light"
"Highland","IN","Sphere"
"Bar Harbor (Bar Island Crossover)","ME","Sphere"
"Elk Grove","CA","Fireball"
"Montgomery","AL","Light"
"Los Angeles","CA","Light"
"Three Rivers","MI","Oval"
"Canby","OR","Light"
"Portville","NY","Oval"
"Kirbyville (Due South Of)","MO","Other"
"Winnemucca","NV","Cigar"
"Ashland","OR","Triangle"
"Augusta","KS","Light"
"Montgomery","TX","Light"
